Frecuencia,0,10,20,30,40,50,60,70,80,90,-90,-80,-70,-60,-50,-40,-30,-20,-10
195.829,0,-0.201836,0.008545,-0.113831,-0.625544,-1.043242,-1.421271,-1.972933,-3.36772,-3.416033,-3.416033,-3.36772,-1.972933,-1.421271,-1.043242,-0.625544,-0.113831,0.008545,-0.201836
198.267,0,-0.204495,0.036936,-0.060034,-0.571957,-0.995255,-1.350899,-1.921795,-3.345844,-3.403652,-3.403652,-3.345844,-1.921795,-1.350899,-0.995255,-0.571957,-0.060034,0.036936,-0.204495
200.735,0,-0.184925,0.046854,-0.030861,-0.532341,-0.953587,-1.290295,-1.875546,-3.305206,-3.369198,-3.369198,-3.305206,-1.875546,-1.290295,-0.953587,-0.532341,-0.030861,0.046854,-0.184925
203.234,0,-0.149553,0.061074,0.004645,-0.474397,-0.894193,-1.2119,-1.787317,-3.19668,-3.237779,-3.237779,-3.19668,-1.787317,-1.2119,-0.894193,-0.474397,0.004645,0.061074,-0.149553
205.764,0,-0.104017,0.088158,0.069523,-0.367887,-0.794401,-1.07147,-1.615293,-2.938673,-2.939729,-2.939729,-2.938673,-1.615293,-1.07147,-0.794401,-0.367887,0.069523,0.088158,-0.104017
208.325,0,-0.03745,0.12086,0.134488,-0.26412,-0.70321,-0.933267,-1.43696,-2.629106,-2.618227,-2.618227,-2.629106,-1.43696,-0.933267,-0.70321,-0.26412,0.134488,0.12086,-0.03745
210.919,0,0.031176,0.145273,0.182848,-0.182819,-0.62112,-0.847713,-1.335857,-2.443363,-2.454872,-2.454872,-2.443363,-1.335857,-0.847713,-0.62112,-0.182819,0.182848,0.145273,0.031176
213.544,0,0.073013,0.150585,0.207004,-0.133934,-0.560065,-0.80987,-1.294146,-2.332438,-2.370089,-2.370089,-2.332438,-1.294146,-0.80987,-0.560065,-0.133934,0.207004,0.150585,0.073013
216.203,0,0.085478,0.140305,0.215893,-0.112781,-0.528203,-0.804624,-1.290483,-2.273023,-2.340009,-2.340009,-2.273023,-1.290483,-0.804624,-0.528203,-0.112781,0.215893,0.140305,0.085478
218.894,0,0.110026,0.135002,0.226527,-0.082369,-0.473392,-0.779552,-1.253269,-2.181919,-2.25317,-2.25317,-2.181919,-1.253269,-0.779552,-0.473392,-0.082369,0.226527,0.135002,0.110026
221.619,0,0.137425,0.115261,0.19392,-0.087395,-0.440292,-0.760479,-1.188328,-2.048454,-2.13604,-2.13604,-2.048454,-1.188328,-0.760479,-0.440292,-0.087395,0.19392,0.115261,0.137425
224.378,0,0.135632,0.059643,0.097828,-0.172682,-0.500736,-0.839559,-1.227743,-2.011118,-2.141676,-2.141676,-2.011118,-1.227743,-0.839559,-0.500736,-0.172682,0.097828,0.059643,0.135632
227.171,0,0.197172,0.027055,0.013075,-0.249453,-0.567093,-0.91281,-1.245728,-1.941406,-2.140305,-2.140305,-1.941406,-1.245728,-0.91281,-0.567093,-0.249453,0.013075,0.027055,0.197172
229.999,0,0.271587,-0.002699,-0.076657,-0.32732,-0.649872,-0.99886,-1.284085,-1.89785,-2.182167,-2.182167,-1.89785,-1.284085,-0.99886,-0.649872,-0.32732,-0.076657,-0.002699,0.271587
232.862,0,0.273332,-0.105057,-0.227099,-0.464754,-0.798111,-1.153135,-1.428137,-1.968268,-2.325812,-2.325812,-1.968268,-1.428137,-1.153135,-0.798111,-0.464754,-0.227099,-0.105057,0.273332
235.761,0,0.275927,-0.17785,-0.347776,-0.572919,-0.916652,-1.278906,-1.544799,-2.020252,-2.438926,-2.438926,-2.020252,-1.544799,-1.278906,-0.916652,-0.572919,-0.347776,-0.17785,0.275927
238.696,0,0.284004,-0.231466,-0.44404,-0.658055,-1.013012,-1.390696,-1.653309,-2.070885,-2.550995,-2.550995,-2.070885,-1.653309,-1.390696,-1.013012,-0.658055,-0.44404,-0.231466,0.284004
241.668,0,0.242023,-0.288172,-0.537301,-0.743103,-1.1061,-1.504755,-1.768435,-2.144175,-2.669985,-2.669985,-2.144175,-1.768435,-1.504755,-1.1061,-0.743103,-0.537301,-0.288172,0.242023
244.676,0,0.18404,-0.324735,-0.613451,-0.817022,-1.185941,-1.600647,-1.869373,-2.196987,-2.787704,-2.787704,-2.196987,-1.869373,-1.600647,-1.185941,-0.817022,-0.613451,-0.324735,0.18404
247.722,0,0.137825,-0.322647,-0.646782,-0.848942,-1.214466,-1.636191,-1.917469,-2.208775,-2.861736,-2.861736,-2.208775,-1.917469,-1.636191,-1.214466,-0.848942,-0.646782,-0.322647,0.137825
250.806,0,0.086594,-0.307884,-0.641499,-0.858021,-1.218119,-1.650572,-1.953764,-2.227497,-2.935989,-2.935989,-2.227497,-1.953764,-1.650572,-1.218119,-0.858021,-0.641499,-0.307884,0.086594
253.928,0,0.02717,-0.295229,-0.650549,-0.88808,-1.241579,-1.689472,-2.02446,-2.280367,-3.067484,-3.067484,-2.280367,-2.02446,-1.689472,-1.241579,-0.88808,-0.650549,-0.295229,0.02717
257.089,0,-0.061798,-0.353393,-0.723257,-0.993185,-1.337023,-1.815786,-2.171573,-2.436695,-3.311434,-3.311434,-2.436695,-2.171573,-1.815786,-1.337023,-0.993185,-0.723257,-0.353393,-0.061798
260.29,0,-0.141535,-0.428896,-0.813141,-1.12196,-1.460438,-1.970702,-2.326184,-2.586432,-3.552979,-3.552979,-2.586432,-2.326184,-1.970702,-1.460438,-1.12196,-0.813141,-0.428896,-0.141535
263.53,0,-0.113163,-0.443697,-0.850315,-1.203556,-1.548032,-2.098016,-2.462377,-2.749214,-3.802671,-3.802671,-2.749214,-2.462377,-2.098016,-1.548032,-1.203556,-0.850315,-0.443697,-0.113163
266.81,0,-0.050459,-0.446673,-0.868178,-1.261054,-1.600581,-2.193814,-2.559166,-2.870694,-4.023629,-4.023629,-2.870694,-2.559166,-2.193814,-1.600581,-1.261054,-0.868178,-0.446673,-0.050459
270.132,0,0.009689,-0.444584,-0.865908,-1.286726,-1.611767,-2.239294,-2.595034,-2.911597,-4.138184,-4.138184,-2.911597,-2.595034,-2.239294,-1.611767,-1.286726,-0.865908,-0.444584,0.009689
273.495,0,0.066652,-0.436116,-0.85929,-1.302977,-1.630288,-2.264929,-2.596703,-2.891665,-4.144671,-4.144671,-2.891665,-2.596703,-2.264929,-1.630288,-1.302977,-0.85929,-0.436116,0.066652
276.899,0,0.123015,-0.418548,-0.845403,-1.308069,-1.640167,-2.276105,-2.595577,-2.868824,-4.150054,-4.150054,-2.868824,-2.595577,-2.276105,-1.640167,-1.308069,-0.845403,-0.418548,0.123015
280.346,0,0.136613,-0.42574,-0.858078,-1.34101,-1.664048,-2.309924,-2.621994,-2.870284,-4.180926,-4.180926,-2.870284,-2.621994,-2.309924,-1.664048,-1.34101,-0.858078,-0.42574,0.136613
283.836,0,0.091677,-0.455799,-0.877838,-1.377496,-1.690435,-2.346029,-2.65644,-2.895916,-4.209709,-4.209709,-2.895916,-2.65644,-2.346029,-1.690435,-1.377496,-0.877838,-0.455799,0.091677
287.37,0,-0.007391,-0.501242,-0.929327,-1.449347,-1.77001,-2.457714,-2.780402,-3.012183,-4.309988,-4.309988,-3.012183,-2.780402,-2.457714,-1.77001,-1.449347,-0.929327,-0.501242,-0.007391
